"Contractor","Location","Total Amount"
"Jane","Austria","0"
"Jane","Belize","0"
"Jane","Macao","370.0"
"Jane","Eastern Africa","370.0"
"Jane","Label","0"
"Jane","Greece","119.1"
"Jane","Gambia","0"
"Jane","Trinidad And Tobago","0"
"Jane","Armenia","0"
"Jane","Aruba","0"
"Jane","Ireland","0"
"Jane","Guam","141.0"
"Jane","Scandinavia","209.99"
"Jane","Macedonia","0"
"Jane","Mongolia","0"
"Jane","Greenland","0"
"Jane","Haiti","410.95"
"Jane","Canada","0"
"Jane","Dominican Republic","0"
"Jane","Bulgaria","0"
"Jane","Southern Africa","1118.9"
"Jane","Bolivia","0"
"Jane","Paraguay","0"
"Jane","Finland","83.95"
"Jane","Romania","0"
"Jane","Uzbekistan","0"
"Jane","Cambodia","400.99"
"Jane","East Indies","0"
"Jane","Sierra Leone","0"
"Jane","Gaza Strip","0"
"Jane","Malaysia","0"
"Jane","Burundi","0"
"Jane","Gibraltar","301.98"
"Jane","Spain","0"
"Jane","Gabon","0"
"Jane","Niue","116.0"
"Jane","New Zealand","307.0"
"Jane","Costa Rica","0"
"Jane","Middle East","531.05"
"Jane","Barbados","0"
"Jane","Anguilla","0"
"Jane","Thailand","0"
"Jane","Chad","455.99"
"Jane","Bangladesh","470.0"
"Jane","Djibouti","0"
"Jane","South Korea","0"
"Jane","Australia","0"
"Jane","Italy","0"
"Jane","Serbia","0"
"Jane","El Salvador","0"
"Jane","Netherlands Antilles","368.98"
"Jane","Norfolk Island","0"
"Jane","United States Virgin Islands","0"
"Jane","Namibia","0"
"Jane","Guatemala","0"
"Jane","Norway","0"
"Jane","Pakistan","0"
"Jane","Cyprus","0"
"Jane","Faeroe Islands","0"
"Jane","Japan","337.95"
"Jane","Democratic Republic Of The Congo","180.95"
"Jane","Madagascar","0"
"Jane","San Marino","0"
"Jane","United Kingdom","0"
"Jane","Kazakhstan","0"
"Jane","France","353.95"
"Jane","Togo","0"
"Jane","Algeria","0"
"Jane","Russia","0"
"Jane","Swaziland","0"
"Jane","South Asia","450.99"
"Jane","Saint Kitts-Nevis","0"
"Jane","Switzerland","0"
"Jane","Fiji","0"
"Julie","Africa","0"
"Julie","Libya","0"
"Julie","Afghanistan","0"
"Julie","Northern Mariana Islands","0"
"Julie","Denmark","0"
"Julie","Eastern Europe","196.5"
"Julie","Andorra","496.94"
"Julie","Aland Islands","0"
"Julie","Jordan","89.98"
"Julie","Slovakia","0"
"Julie","Columbia","469.1"
"Julie","Country_Desc","0"
"Julie","Burkina Faso","358.0"
"Julie","Sao Tome And Principe","0"
"Julie","Mexico","0"
"Julie","Bosnia And Herzegovina","0"
"Julie","Sudan","0"
"Julie","Estonia","492.95"
"Julie","Lesotho","0"
"Julie","Senegal","0"
"Julie","Asia","0"
"Julie","Hungary","0"
"Julie","Laos","0"
"Julie","Turkey","0"
"Julie","Lithuania","0"
"Julie","South America","57.0"
"Julie","The West","0"
"Julie","Portugal","279.95"
"Julie","Niger","0"
"Julie","Balkans","0"
"Julie","Yemen","0"
"Julie","Poland","0"
"Julie","West Bank","0"
"Julie","Bahrain","0"
"Julie","Baghdad","0"
"Julie","Iceland","0"
"Julie","Persian Gulf","0"
"Julie","Angola","0"
"Julie","Western Sahara","0"
"Julie","Tonga","0"
"Julie","Kenya","309.99"
"Julie","Saint Helena","0"
"Julie","Falkland Islands","267.0"
"Julie","Sweden","0"
"Julie","Kuwait","354.99"
"Julie","West Africa","0"
"Julie","People'S Republic Of The Congo","0"
"Julie","Myanmar","0"
"Julie","Morocco","0"
"Julie","Saudi Arabia","0"
"Julie","Seychelles","0"
"Julie","Turks And Caicos Islands","0"
"Julie","South Africa","231.0"
"Julie","Latvia","417.95"
"Julie","Occupied Palestinian Territory","0"
"Julie","Ecuador","0"
"Julie","Micronesia","424.99"
"Julie","Benin","0"
"Julie","Netherlands","326.99"
"Julie","Central Africa","0"
"Julie","Ghana","0"
"Julie","Suriname","0"
"Julie","Location","0"
"Julie","British Virgin Islands","0"
"Julie","Luxembourg","0"
"Julie","East Timor","0"
"Julie","Qatar","0"
"Julie","Wallis And Futuna Islands","0"
"Julie","Tajikistan","0"
"Julie","Guyana","0"
"Julie","Mediterranean","0"
"Julie","Czech Republic","59.95"
"Julie","Caribbean","385.1"
"Julie","Caucasus","0"
"Julie","Moldova","0"
"Julie","Malta","0"
"Julie","Palau","0"
"Julie","Oman","0"
"Julie","Vatican City","132.0"
"Julie","Montenegro","0"
"Julie","Panama","0"
"Julie","Turkmenistan","76.98"
"Julie","Nicaragua","1071.99"
"Julie","North Africa","0"
"Julie","Chile","65.0"
"Julie","Central Asia","0"
"Julie","Mauritius","0"
"Julie","Tuvalu","547.95"
"Julie","French Polynesia","0"
"Julie","Equatorial Guinea","331.0"
"Julie","Ivory Coast","0"
"Julie","Isle Of Man","0"
"Julie","Tunisia","369.99"
"Julie","United States","0"
"Julie","Syria","0"
"Julie","Bhutan","0"
"Julie","Puerto Rico","0"
"Julie","French Guiana","131.95"
"Julie","Guinea","146.99"
"Julie","Saint Lucia","0"
"Julie","Georgia","0"
"Julie","Guinea-Bissau","0"
"Julie","Solomon Islands","0"
"Julie","Latin America","0"
"Julie","Jamaica","196.1"
"Julie","Grenada","388.0"
"Julie","Singapore","0"
"Julie","Monaco","155.5"
"Julie","North Korea","0"
"Julie","Ukraine","0"
"Julie","Vietnam","0"
"Julie","Papua New Guinea","743.95"
"Julie","Zimbabwe","0"
"Julie","Bermuda","0"
"Julie","Croatia","0"
"Julie","Lebanon","0"
"Julie","Saint Pierre And Miquelon","0"
"Julie","Maldives","0"
"Julie","Uganda","535.95"
"Julie","Iran","0"
"Julie","Svalbard And Jan Mayen Islands","0"
"Julie","Hong Kong","216.95"
"Julie","Southeast Asia","0"
"Julie","Cameroon","0"
"Julie","Israel","0"
"Julie","Belgium","352.0"
"Julie","Mozambique","0"
"Julie","Mali","428.95"
"Julie","Vanuatu","0"
"Julie","Venezuela","0"
"Julie","New Caledonia","0"
"Julie","Nauru","443.95"
"Julie","China","0"
"Julie","Saint Vincent And The Grenadines","0"
"Julie","Eritrea","505.99"
"Julie","Mauritania","0"
"Julie","Azerbaijan","394.99"
"Julie","Samoa","236.95"
"Julie","Antigua And Barbuda","0"
"Julie","Bahamas","239.95"
"Julie","Botswana","0"
"Julie","Montserrat","391.95"
"Julie","Somalia","0"
"Julie","Germany","407.99"
"Julie","Guadeloupe","149.1"
"Julie","Zambia","0"
"Julie","Runion","0"
"Julie","Cuba","684.99"
"Julie","Central African Republic","0"
"Julie","Brazil","345.95"
"Julie","Central Europe","0"
"Julie","Kiribati","0"
"Julie","Tanzania","0"
"Julie","Rwanda","0"
"Julie","Albania","0"
"Julie","India","0"
"Julie","Ethiopia","691.94"
"Julie","American Samoa","300.99"
"Julie","Brunei Darussalam","0"
"Julie","Dominica","0"
"Julie","Indonesia","0"
"Julie","Tokelau","566.98"
"Julie","Egypt","0"
"Julie","Malawi","0"
"Julie","North America","478.5"
"Julie","Martinique","0"
"Julie","Kyrgyzstan","0"
"Julie","Uruguay","0"
"Julie","Peru","98.0"
"Julie","Pitcairn","104.5"
"Julie","Belarus","0"
"Julie","Liberia","0"
"Julie","Nigeria","209.98"
"Julie","Europe","466.0"
"Julie","Sri Lanka","63.5"
"Julie","Cook Islands","0"
"Julie","Argentina","140.95"
"Julie","Mayotte","0"
"Julie","Cape Verde","83.99"
"Julie","Iraq","190.5"
"Julie","Cayman Islands","0"
"Julie","Slovenia","0"
"Julie","Philippines","129.0"
"Julie","Comoros","0"
"Julie","Liechtenstein","0"
"Julie","Honduras","0"
"Julie","Nepal","0"
"Julie","United Arab Emirates","407.5"
"Julie","Marshall Islands","247.0"
"Julie","Austria","0"
"Julie","Belize","0"
"Julie","Macao","0"
"Julie","Eastern Africa","0"
"Julie","Label","0"
"Julie","Greece","0"
"Julie","Gambia","0"
"Julie","Trinidad And Tobago","0"
"Julie","Armenia","0"
"Julie","Aruba","0"
"Julie","Ireland","0"
"Julie","Guam","0"
"Julie","Scandinavia","338.0"
"Julie","Macedonia","0"
"Julie","Mongolia","0"
"Julie","Greenland","0"
"Julie","Haiti","0"
"Julie","Canada","503.95"
"Julie","Dominican Republic","0"
"Julie","Bulgaria","0"
"Julie","Southern Africa","404.99"
"Julie","Bolivia","0"
"Julie","Paraguay","226.0"
"Julie","Finland","0"
"Julie","Romania","0"
"Julie","Uzbekistan","0"
"Julie","Cambodia","490.0"
"Julie","East Indies","181.0"
"Julie","Sierra Leone","0"
"Julie","Gaza Strip","0"
"Julie","Malaysia","0"
"Julie","Burundi","307.5"
"Julie","Gibraltar","308.0"
"Julie","Spain","807.0"
"Julie","Gabon","0"
"Julie","Niue","0"
"Julie","New Zealand","0"
"Julie","Costa Rica","249.95"
"Julie","Middle East","0"
"Julie","Barbados","245.95"
"Julie","Anguilla","0"
"Julie","Thailand","0"
"Julie","Chad","67.95"
"Julie","Bangladesh","0"
"Julie","Djibouti","0"
"Julie","South Korea","0"
"Julie","Australia","0"
"Julie","Italy","0"
"Julie","Serbia","0"
"Julie","El Salvador","21.0"
"Julie","Netherlands Antilles","494.1"
"Julie","Norfolk Island","658.97"
"Julie","United States Virgin Islands","0"
"Julie","Namibia","449.99"
"Julie","Guatemala","0"
"Julie","Norway","0"
"Julie","Pakistan","0"
"Julie","Cyprus","0"
"Julie","Faeroe Islands","72.95"
"Julie","Japan","585.5500000000001"
"Julie","Democratic Republic Of The Congo","0"
"Julie","Madagascar","0"
"Julie","San Marino","0"
"Julie","United Kingdom","0"
"Julie","Kazakhstan","0"
"Julie","France","0"
"Julie","Togo","365.99"
"Julie","Algeria","0"
"Julie","Russia","0"
"Julie","Swaziland","17.0"
"Julie","South Asia","0"
"Julie","Saint Kitts-Nevis","0"
"Julie","Switzerland","128.0"
"Julie","Fiji","0"
"Justine","Africa","0"
"Justine","Libya","0"
"Justine","Afghanistan","0"
"Justine","Northern Mariana Islands","0"
"Justine","Denmark","0"
"Justine","Eastern Europe","0"
"Justine","Andorra","0"
"Justine","Aland Islands","0"
"Justine","Jordan","0"
"Justine","Slovakia","297.0"
"Justine","Columbia","0"
"Justine","Country_Desc","425.0"
"Justine","Burkina Faso","0"
"Justine","Sao Tome And Principe","0"
"Justine","Mexico","0"
"Justine","Bosnia And Herzegovina","141.99"
"Justine","Sudan","0"
"Justine","Estonia","0"
"Justine","Lesotho","0"
"Justine","Senegal","0"
"Justine","Asia","0"
"Justine","Hungary","400.0"
"Justine","Laos","0"
"Justine","Turkey","346.0"
"Justine","Lithuania","0"
"Justine","South America","0"
"Justine","The West","0"
"Justine","Portugal","20.0"
"Justine","Niger","261.0"
"Justine","Balkans","0"
"Justine","Yemen","0"
"Justine","Poland","0"
"Justine","West Bank","18.98"
"Justine","Bahrain","44.1"
"Justine","Baghdad","0"
"Justine","Iceland","0"
"Justine","Persian Gulf","0"
"Justine","Angola","433.0"
"Justine","Western Sahara","452.0"
"Justine","Tonga","341.0"
"Justine","Kenya","0"
"Justine","Saint Helena","143.99"
"Justine","Falkland Islands","0"
"Justine","Sweden","450.1"
"Justine","Kuwait","0"
"Justine","West Africa","0"
"Justine","People'S Republic Of The Congo","0"
"Justine","Myanmar","0"
"Justine","Morocco","495.5"
"Justine","Saudi Arabia","0"
"Justine","Seychelles","0"
"Justine","Turks And Caicos Islands","0"
"Justine","South Africa","0"
"Justine","Latvia","0"
"Justine","Occupied Palestinian Territory","0"
"Justine","Ecuador","0"
"Justine","Micronesia","0"
"Justine","Benin","0"
"Justine","Netherlands","0"
"Justine","Central Africa","449.1"
"Justine","Ghana","0"
"Justine","Suriname","0"
"Justine","Location","0"
"Justine","British Virgin Islands","285.99"
"Justine","Luxembourg","286.0"
"Justine","East Timor","274.1"
"Justine","Qatar","307.0"
"Justine","Wallis And Futuna Islands","0"
"Justine","Tajikistan","0"
"Justine","Guyana","490.0"
"Justine","Mediterranean","0"
"Justine","Czech Republic","0"
"Justine","Caribbean","0"
"Justine","Caucasus","340.5"
"Justine","Moldova","232.0"
"Justine","Malta","0"
"Justine","Palau","0"
"Justine","Oman","278.0"
"Justine","Vatican City","0"
"Justine","Montenegro","0"
"Justine","Panama","0"
"Justine","Turkmenistan","629.5"
"Justine","Nicaragua","0"
"Justine","North Africa","0"
"Justine","Chile","0"
"Justine","Central Asia","369.98"
"Justine","Mauritius","0"
"Justine","Tuvalu","206.99"
"Justine","French Polynesia","471.0"
"Justine","Equatorial Guinea","0"
"Justine","Ivory Coast","409.6"
"Justine","Isle Of Man","0"
"Justine","Tunisia","0"
"Justine","United States","0"
"Justine","Syria","0"
"Justine","Bhutan","0"
"Justine","Puerto Rico","0"
"Justine","French Guiana","617.45"
"Justine","Guinea","0"
"Justine","Saint Lucia","395.99"
"Justine","Georgia","0"
"Justine","Guinea-Bissau","0"
"Justine","Solomon Islands","0"
"Justine","Latin America","0"
"Justine","Jamaica","215.5"
"Justine","Grenada","358.1"
"Justine","Singapore","0"
"Justine","Monaco","0"
"Justine","North Korea","0"
"Justine","Ukraine","390.5"
"Justine","Vietnam","529.95"
"Justine","Papua New Guinea","0"
"Justine","Zimbabwe","0"
"Justine","Bermuda","396.0"
"Justine","Croatia","0"
"Justine","Lebanon","527.45"
"Justine","Saint Pierre And Miquelon","0"
"Justine","Maldives","0"
"Justine","Uganda","0"
"Justine","Iran","0"
"Justine","Svalbard And Jan Mayen Islands","83.0"
"Justine","Hong Kong","202.1"
"Justine","Southeast Asia","158.99"
"Justine","Cameroon","0"
"Justine","Israel","0"
"Justine","Belgium","32.99"
"Justine","Mozambique","176.99"
"Justine","Mali","0"
"Justine","Vanuatu","0"
"Justine","Venezuela","168.0"
"Justine","New Caledonia","0"
"Justine","Nauru","0"
"Justine","China","0"
"Justine","Saint Vincent And The Grenadines","435.99"
"Justine","Eritrea","398.94"
"Justine","Mauritania","31.98"
"Justine","Azerbaijan","0"
"Justine","Samoa","44.0"
"Justine","Antigua And Barbuda","0"
"Justine","Bahamas","337.99"
"Justine","Botswana","0"
"Justine","Montserrat","0"
"Justine","Somalia","0"
"Justine","Germany","0"
"Justine","Guadeloupe","237.99"
"Justine","Zambia","0"
"Justine","Runion","255.0"
"Justine","Cuba","0"
"Justine","Central African Republic","0"
"Justine","Brazil","0"
"Justine","Central Europe","461.5"
"Justine","Kiribati","0"
"Justine","Tanzania","464.0"
"Justine","Rwanda","0"
"Justine","Albania","0"
"Justine","India","0"
"Justine","Ethiopia","259.0"
"Justine","American Samoa","0"
"Justine","Brunei Darussalam","0"
"Justine","Dominica","465.99"
"Justine","Indonesia","0"
"Justine","Tokelau","0"
"Justine","Egypt","0"
"Justine","Malawi","0"
"Justine","North America","0"
"Justine","Martinique","0"
"Justine","Kyrgyzstan","811.95"
"Justine","Uruguay","188.0"
"Justine","Peru","0"
"Justine","Pitcairn","0"
"Justine","Belarus","0"
"Justine","Liberia","0"
"Justine","Nigeria","302.0"
"Justine","Europe","0"
"Justine","Sri Lanka","167.95"
"Justine","Cook Islands","0"
"Justine","Argentina","0"
"Justine","Mayotte","0"
"Justine","Cape Verde","483.98"
"Justine","Iraq","0"
"Justine","Cayman Islands","28.0"
"Justine","Slovenia","0"
"Justine","Philippines","0"
"Justine","Comoros","445.0"
"Justine","Liechtenstein","0"
"Justine","Honduras","0"
"Justine","Nepal","0"
"Justine","United Arab Emirates","0"
"Justine","Marshall Islands","0"
"Justine","Austria","0"
"Justine","Belize","0"
"Justine","Macao","486.09000000000003"
"Justine","Eastern Africa","0"
"Justine","Label","0"
"Justine","Greece","399.99"
"Justine","Gambia","639.5"
"Justine","Trinidad And Tobago","0"
"Justine","Armenia","0"
"Justine","Aruba","0"
"Justine","Ireland","257.0"
"Justine","Guam","0"
"Justine","Scandinavia","0"
"Justine","Macedonia","0"
"Justine","Mongolia","0"
"Justine","Greenland","260.0"
"Justine","Haiti","321.5"
"Justine","Canada","0"
"Justine","Dominican Republic","0"
"Justine","Bulgaria","77.95"
"Justine","Southern Africa","307.0"
"Justine","Bolivia","988.08"
"Justine","Paraguay","430.5"
"Justine","Finland","358.0"
"Justine","Romania","146.97"
"Justine","Uzbekistan","0"
"Justine","Cambodia","0"
"Justine","East Indies","0"
"Justine","Sierra Leone","0"
"Justine","Gaza Strip","408.0"
"Justine","Malaysia","0"
"Justine","Burundi","0"
"Justine","Gibraltar","0"
"Justine","Spain","0"
"Justine","Gabon","0"
"Justine","Niue","0"
"Justine","New Zealand","0"
"Justine","Costa Rica","0"
"Justine","Middle East","0"
"Justine","Barbados","200.5"
"Justine","Anguilla","0"
"Justine","Thailand","603.98"
"Justine","Chad","0"
"Justine","Bangladesh","328.5"
"Justine","Djibouti","0"
"Justine","South Korea","0"
"Justine","Australia","0"
"Justine","Italy","0"
"Justine","Serbia","479.0"
"Justine","El Salvador","353.1"
"Justine","Netherlands Antilles","482.0"
"Justine","Norfolk Island","0"
"Justine","United States Virgin Islands","0"
"Justine","Namibia","0"
"Justine","Guatemala","236.0"
"Justine","Norway","0"
"Justine","Pakistan","0"
"Justine","Cyprus","109.0"
"Justine","Faeroe Islands","0"
"Justine","Japan","0"
"Justine","Democratic Republic Of The Congo","250.98"
"Justine","Madagascar","0"
"Justine","San Marino","54.0"
"Justine","United Kingdom","0"
"Justine","Kazakhstan","0"
"Justine","France","0"
"Justine","Togo","0"
"Justine","Algeria","265.5"
"Justine","Russia","0"
"Justine","Swaziland","0"
"Justine","South Asia","0"
"Justine","Saint Kitts-Nevis","0"
"Justine","Switzerland","0"
"Justine","Fiji","0"
"Bob","Africa","170.5"
"Bob","Libya","0"
"Bob","Afghanistan","369.1"
"Bob","Northern Mariana Islands","0"
"Bob","Denmark","0"
"Bob","Eastern Europe","358.5"
"Bob","Andorra","0"
"Bob","Aland Islands","0"
"Bob","Jordan","0"
"Bob","Slovakia","220.99"
"Bob","Columbia","0"
"Bob","Country_Desc","0"
"Bob","Burkina Faso","0"
"Bob","Sao Tome And Principe","0"
"Bob","Mexico","22.95"
"Bob","Bosnia And Herzegovina","136.0"
"Bob","Sudan","0"
"Bob","Estonia","0"
"Bob","Lesotho","0"
"Bob","Senegal","0"
"Bob","Asia","363.0"
"Bob","Hungary","0"
"Bob","Laos","0"
"Bob","Turkey","0"
"Bob","Lithuania","0"
"Bob","South America","0"
"Bob","The West","212.95"
"Bob","Portugal","966.97"
"Bob","Niger","247.98"
"Bob","Balkans","0"
"Bob","Yemen","0"
"Bob","Poland","0"
"Bob","West Bank","0"
"Bob","Bahrain","0"
"Bob","Baghdad","0"
"Bob","Iceland","314.95"
"Bob","Persian Gulf","0"
"Bob","Angola","0"
"Bob","Western Sahara","0"
"Bob","Tonga","0"
"Bob","Kenya","0"
"Bob","Saint Helena","85.0"
"Bob","Falkland Islands","0"
"Bob","Sweden","0"
"Bob","Kuwait","0"
"Bob","West Africa","0"
"Bob","People'S Republic Of The Congo","0"
"Bob","Myanmar","0"
"Bob","Morocco","371.0"
"Bob","Saudi Arabia","652.49"
"Bob","Seychelles","344.0"
"Bob","Turks And Caicos Islands","0"
"Bob","South Africa","0"
"Bob","Latvia","299.0"
"Bob","Occupied Palestinian Territory","0"
"Bob","Ecuador","0"
"Bob","Micronesia","0"
"Bob","Benin","520.99"
"Bob","Netherlands","0"
"Bob","Central Africa","0"
"Bob","Ghana","0"
"Bob","Suriname","151.0"
"Bob","Location","0"
"Bob","British Virgin Islands","0"
"Bob","Luxembourg","0"
"Bob","East Timor","0"
"Bob","Qatar","0"
"Bob","Wallis And Futuna Islands","0"
"Bob","Tajikistan","0"
"Bob","Guyana","303.95"
"Bob","Mediterranean","0"
"Bob","Czech Republic","0"
"Bob","Caribbean","431.95"
"Bob","Caucasus","0"
"Bob","Moldova","0"
"Bob","Malta","269.95"
"Bob","Palau","0"
"Bob","Oman","0"
"Bob","Vatican City","0"
"Bob","Montenegro","0"
"Bob","Panama","0"
"Bob","Turkmenistan","80.0"
"Bob","Nicaragua","366.95"
"Bob","North Africa","284.98"
"Bob","Chile","0"
"Bob","Central Asia","81.98"
"Bob","Mauritius","0"
"Bob","Tuvalu","551.95"
"Bob","French Polynesia","0"
"Bob","Equatorial Guinea","0"
"Bob","Ivory Coast","414.5"
"Bob","Isle Of Man","0"
"Bob","Tunisia","330.95"
"Bob","United States","0"
"Bob","Syria","264.95"
"Bob","Bhutan","0"
"Bob","Puerto Rico","415.1"
"Bob","French Guiana","9.99"
"Bob","Guinea","0"
"Bob","Saint Lucia","0"
"Bob","Georgia","0"
"Bob","Guinea-Bissau","0"
"Bob","Solomon Islands","211.5"
"Bob","Latin America","0"
"Bob","Jamaica","335.0"
"Bob","Grenada","35.95"
"Bob","Singapore","0"
"Bob","Monaco","0"
"Bob","North Korea","0"
"Bob","Ukraine","0"
"Bob","Vietnam","0"
"Bob","Papua New Guinea","101.95"
"Bob","Zimbabwe","0"
"Bob","Bermuda","380.0"
"Bob","Croatia","380.0"
"Bob","Lebanon","0"
"Bob","Saint Pierre And Miquelon","0"
"Bob","Maldives","0"
"Bob","Uganda","0"
"Bob","Iran","0"
"Bob","Svalbard And Jan Mayen Islands","0"
"Bob","Hong Kong","0"
"Bob","Southeast Asia","0"
"Bob","Cameroon","0"
"Bob","Israel","0"
"Bob","Belgium","0"
"Bob","Mozambique","0"
"Bob","Mali","0"
"Bob","Vanuatu","0"
"Bob","Venezuela","0"
"Bob","New Caledonia","441.5"
"Bob","Nauru","0"
"Bob","China","0"
"Bob","Saint Vincent And The Grenadines","465.99"
"Bob","Eritrea","0"
"Bob","Mauritania","0"
"Bob","Azerbaijan","354.95"
"Bob","Samoa","0"
"Bob","Antigua And Barbuda","475.0"
"Bob","Bahamas","0"
"Bob","Botswana","404.95"
"Bob","Montserrat","0"
"Bob","Somalia","0"
"Bob","Germany","0"
"Bob","Guadeloupe","0"
"Bob","Zambia","0"
"Bob","Runion","798.0"
"Bob","Cuba","167.0"
"Bob","Central African Republic","0"
"Bob","Brazil","0"
"Bob","Central Europe","0"
"Bob","Kiribati","486.0"
"Bob","Tanzania","0"
"Bob","Rwanda","0"
"Bob","Albania","0"
"Bob","India","0"
"Bob","Ethiopia","0"
"Bob","American Samoa","30.0"
"Bob","Brunei Darussalam","0"
"Bob","Dominica","0"
"Bob","Indonesia","0"
"Bob","Tokelau","0"
"Bob","Egypt","0"
"Bob","Malawi","0"
"Bob","North America","0"
"Bob","Martinique","0"
"Bob","Kyrgyzstan","707.98"
"Bob","Uruguay","0"
"Bob","Peru","0"
"Bob","Pitcairn","67.99"
"Bob","Belarus","270.1"
"Bob","Liberia","0"
"Bob","Nigeria","0"
"Bob","Europe","0"
"Bob","Sri Lanka","0"
"Bob","Cook Islands","0"
"Bob","Argentina","0"
"Bob","Mayotte","105.95"
"Bob","Cape Verde","0"
"Bob","Iraq","270.95"
"Bob","Cayman Islands","212.98"
"Bob","Slovenia","395.95"
"Bob","Philippines","0"
"Bob","Comoros","89.98"
"Bob","Liechtenstein","0"
"Bob","Honduras","0"
"Bob","Nepal","0"
"Bob","United Arab Emirates","0"
"Bob","Marshall Islands","0"
"Bob","Austria","145.95"
"Bob","Belize","337.99"
"Bob","Macao","334.0"
"Bob","Eastern Africa","491.95"
"Bob","Label","311.98"
"Bob","Greece","278.97"
"Bob","Gambia","695.5"
"Bob","Trinidad And Tobago","0"
"Bob","Armenia","0"
"Bob","Aruba","415.9"
"Bob","Ireland","0"
"Bob","Guam","0"
"Bob","Scandinavia","0"
"Bob","Macedonia","0"
"Bob","Mongolia","77.98"
"Bob","Greenland","0"
"Bob","Haiti","0"
"Bob","Canada","433.1"
"Bob","Dominican Republic","0"
"Bob","Bulgaria","0"
"Bob","Southern Africa","176.95"
"Bob","Bolivia","0"
"Bob","Paraguay","0"
"Bob","Finland","0"
"Bob","Romania","315.99"
"Bob","Uzbekistan","0"
"Bob","Cambodia","407.99"
"Bob","East Indies","0"
"Bob","Sierra Leone","597.0"
"Bob","Gaza Strip","0"
"Bob","Malaysia","0"
"Bob","Burundi","96.5"
"Bob","Gibraltar","0"
"Bob","Spain","96.95"
"Bob","Gabon","0"
"Bob","Niue","0"
"Bob","New Zealand","1053.97"
"Bob","Costa Rica","349.1"
"Bob","Middle East","428.0"
"Bob","Barbados","0"
"Bob","Anguilla","457.0"
"Bob","Thailand","0"
"Bob","Chad","0"
"Bob","Bangladesh","201.0"
"Bob","Djibouti","115.0"
"Bob","South Korea","41.98"
"Bob","Australia","0"
"Bob","Italy","601.0"
"Bob","Serbia","0"
"Bob","El Salvador","0"
"Bob","Netherlands Antilles","0"
"Bob","Norfolk Island","0"
"Bob","United States Virgin Islands","375.98"
"Bob","Namibia","0"
"Bob","Guatemala","240.95"
"Bob","Norway","0"
"Bob","Pakistan","0"
"Bob","Cyprus","0"
"Bob","Faeroe Islands","0"
"Bob","Japan","176.0"
"Bob","Democratic Republic Of The Congo","383.95"
"Bob","Madagascar","0"
"Bob","San Marino","0"
"Bob","United Kingdom","233.95"
"Bob","Kazakhstan","86.0"
"Bob","France","0"
"Bob","Togo","0"
"Bob","Algeria","0"
"Bob","Russia","0"
"Bob","Swaziland","0"
"Bob","South Asia","0"
"Bob","Saint Kitts-Nevis","286.1"
"Bob","Switzerland","651.9"
"Bob","Fiji","0"
"Joan","Africa","0"
"Joan","Libya","0"
"Joan","Afghanistan","0"
"Joan","Northern Mariana Islands","0"
"Joan","Denmark","0"
"Joan","Eastern Europe","0"
"Joan","Andorra","0"
"Joan","Aland Islands","366.0"
"Joan","Jordan","0"
"Joan","Slovakia","0"
"Joan","Columbia","153.0"
"Joan","Country_Desc","0"
"Joan","Burkina Faso","0"
"Joan","Sao Tome And Principe","449.99"
"Joan","Mexico","0"
"Joan","Bosnia And Herzegovina","0"
"Joan","Sudan","0"
"Joan","Estonia","0"
"Joan","Lesotho","103.95"
"Joan","Senegal","0"
"Joan","Asia","193.99"
"Joan","Hungary","0"
"Joan","Laos","0"
"Joan","Turkey","0"
"Joan","Lithuania","0"
"Joan","South America","0"
"Joan","The West","199.49"
"Joan","Portugal","286.99"
"Joan","Niger","0"
"Joan","Balkans","344.0"
"Joan","Yemen","0"
"Joan","Poland","0"
"Joan","West Bank","499.95"
"Joan","Bahrain","422.99"
"Joan","Baghdad","25.0"
"Joan","Iceland","0"
"Joan","Persian Gulf","489.1"
"Joan","Angola","0"
"Joan","Western Sahara","0"
"Joan","Tonga","0"
"Joan","Kenya","0"
"Joan","Saint Helena","0"
"Joan","Falkland Islands","518.0"
"Joan","Sweden","559.5"
"Joan","Kuwait","25.99"
"Joan","West Africa","0"
"Joan","People'S Republic Of The Congo","0"
"Joan","Myanmar","123.98"
"Joan","Morocco","0"
"Joan","Saudi Arabia","0"
"Joan","Seychelles","332.0"
"Joan","Turks And Caicos Islands","0"
"Joan","South Africa","281.5"
"Joan","Latvia","0"
"Joan","Occupied Palestinian Territory","232.95"
"Joan","Ecuador","109.99"
"Joan","Micronesia","0"
"Joan","Benin","0"
"Joan","Netherlands","0"
"Joan","Central Africa","0"
"Joan","Ghana","0"
"Joan","Suriname","387.1"
"Joan","Location","0"
"Joan","British Virgin Islands","0"
"Joan","Luxembourg","0"
"Joan","East Timor","57.5"
"Joan","Qatar","112.5"
"Joan","Wallis And Futuna Islands","0"
"Joan","Tajikistan","268.09000000000003"
"Joan","Guyana","103.95"
"Joan","Mediterranean","0"
"Joan","Czech Republic","0"
"Joan","Caribbean","382.1"
"Joan","Caucasus","189.1"
"Joan","Moldova","0"
"Joan","Malta","134.0"
"Joan","Palau","151.98"
"Joan","Oman","0"
"Joan","Vatican City","319.99"
"Joan","Montenegro","0"
"Joan","Panama","0"
"Joan","Turkmenistan","0"
"Joan","Nicaragua","0"
"Joan","North Africa","463.99"
"Joan","Chile","68.98"
